# word | phonetic | pos. | meaning | example | topic
adventitious | /.ædven'tiʃәs/ |  | a. 偶然的, 外来的；偶生的, 偶发的 |  | culture
eclat |  | n. | 大成功, 喝采 |  | general
cognizance | /'kɒgnizәns/ | n. | 认识, 察知, 审理 |  | general
multicellular | /.mʌlti'seljulә/ |  | a. 多细胞的；多细胞的 |  | general
adulteration | /ә.dʌltә'reiʃәn/ | n. | 掺杂, 掺假的东西；掺杂 |  | general
seismology | /saiz'mɒlәdʒi/ | n. | 地震学 |  | culture
transcontinental | /'trænzkɔnti'nentәl/ |  | a. 横贯大陆的, 大陆那边的 |  | culture
vitalism | /'vaitlizm/ | n. | 生机论, 活力论；生机论, 生活力说 |  | general
obloquy | /'ɒblәkwi/ | n. | 辱骂, 毁谤, 耻辱 |  | general
sagacious | /sә'geiʃәs/ |  | a. 睿智的, 聪明的, 贤明的, 伶俐的 |  | work
improvident | /im'prɒvidәnt/ |  | a. 无远见的, 浪费的 |  | general
stickpin | /'stikpin/ | n. | 领带夹 |  | general
centennial | /sen'tenjәl/ | n. | 百年纪念；a. 一百年的 |  | general
alumnus | /ә'lʌmnәs/ | n. | 男毕业生, 男校友 |  | education
skillful | /'skilful/ |  | a. 熟练的, 巧妙的；熟练的 |  | general
malediction | /.mæli'dikʃәn/ | n. | 咒, 坏话 |  | general
euphonious | /ju:'fәuniәs/ |  | a. 音响好的, 悦耳的, 声音和谐的 |  | general
impassible | /im'pæsibl/ |  | a. 不觉痛苦的, 不受伤害的, 无感觉的 |  | general
thousandfold | /'θauznd'fәuld/ |  | a. 千倍的；adv. 千倍地, 成千倍 |  | general
saltiness |  | n. | 咸性 |  | culture
ceremonious | /.seri'mәunjәs/ |  | a. 讲究仪式的, 隆重的 |  | general
briskness | /'brisknis/ | n. | 轻快, 活泼 |  | general
euphony | /'ju:fәni/ | n. | 悦耳之音 |  | general
complacence | /kәm'pleisәns/ | n. | 满足, 自鸣得意, 自满 |  | general
airsickness | /'єәsiknis/ | n. | 晕机 |  | general
radium | /'reidiәm/ | n. | 镭；镭Ra |  | general
monochromatic | /.mɒnәukrәu'mætik/ |  | a. 单色的, 单频的；单色的 |  | general
hirsute | /'hә:sju:t/ |  | a. 多毛的, 有粗毛的；多毛的 |  | general
munificent | /mju:'nifisnt/ |  | a. 丰厚的, 慷慨的 |  | general
malleability | /.mæliә'biliti/ | n. | 可展性, 可锻性, 顺从；展性 |  | general
factious | /'fækʃәs/ |  | a. 好搞派系的, 好结党营私的 |  | general
conciseness |  |  | 简明性, 简洁性；简洁性 |  | economy
cession | /'seʃәn/ | n. | 割让, 转让；财产权利等的转让, 再保险 |  | society
embryological | /ˌembrɪə'lɒdʒɪkl/ |  | 胚胎学的 |  | general
crevasse | /kri'væs/ | n. | 裂缝, (堤、坝等的)决口, 崩溃处；vt. 使有裂缝 |  | general
tinplate | /'tinpleit/ | n. | 镀锡铁皮, 马口铁；镀锡薄钢板 |  | general
choreographic | /.kɒriә'græfik/ |  | a. 舞蹈艺术的, 舞台舞蹈的 |  | culture
pestilential | /.pesti'lenʃәl/ |  | a. 瘟疫的, 有害的, 传播疾病的, 讨厌；疫病的 |  | health
overconfident | /.әuvә'kɒnfidәnt/ |  | a. 过于自信的, 自负的；过于自信的, 过于自恃的 |  | general
factitious | /fæk'tiʃәs/ |  | a. 人为的, 人工的, 不自然的；人工的, 人造的, 假的 |  | environment
pinhead | /'pinhed/ | n. | 针头, 小东西, 微不足道的东西 |  | general
unfertilized | /'ʌn'fә:tilaizd/ |  | a. 未施肥的 |  | general
easily | /'i:zili/ | adv. | 容易地, 轻易地, 流利地 |  | general
fully | /'fuli/ | adv. | 十分地, 完全地, 充分地 |  | general
apparently | /ә'pærәntli/ | adv. | 表面上, 清楚地, 显然地 |  | general
entirely | /in'taiәli/ | adv. | 完全, 全然, 一概 |  | general
afterwards | /'ɑ:ftәwәdz/ | adv. | 然后, 后来 |  | general
acceptable | /әk'septәbl/ |  | a. 可接受的, 合意的, 可忍受的 |  | general
essentially | /i'senʃәli/ | adv. | 本质上, 本来 |  | general
precisely | /pri'saisli/ | adv. | 精确地, 明确地, 刻板地, 拘泥地, 正好 |  | general
nineteenth | /.nain'ti:nθ/ | num. | 第十九, 十九分之一 |  | general
basically | /'beisikli/ | adv. | 基本上, 主要地 |  | general
electoral | /i'lektәrәl/ |  | a. 选举人的, 选举的, (有关)选举的；选举的, 选举人的, 由选举人组成的 |  | general
eighteenth | /ei'ti:nθ/ | num. | 第十八, 十八分之一 |  | general
o'clock | /ә'klɔk/ | n. | 点钟, 钟头 |  | general
seventeenth | /sevn'ti:nθ/ | num. | 第十七, 十七分之一 |  | general
homeless | /'hәumlis/ |  | a. 无家的, 无养主的 |  | general
eleventh | /i'levnθ/ | num. | 第十一, 十一分之一 |  | general
fifteenth | /'fif'ti:nθ/ | num. | 第十五, 十五分之一 |  | general
thirteenth | /'θә:ti:nθ/ | num. | 第十三, 十三分之一 |  | general
fourteenth | /'fɒ:'ti:nθ/ | num. | 第十四, 十四分之一 |  | general
unidentified | /.ʌnai'dentifaid/ |  | a. 未被认出的, 未经确认的 |  | general
statistic | /stә'tistik/ | n. | 统计量；a. 统计的, 统计学的 |  | general
fiftieth | /'fiftiiθ/ | num. | 第五十, 五十分之一 |  | general
thirtieth | /'θә:tiiθ/ | num. | 第三十, 三十分之一 |  | general
activism | /'æktivizm/ | n. | 激进主义, 行动主义, 能动论；激进主义, 行动主义 |  | society
fortieth | /'fɒ:tiiθ/ | num. | 第四十, 四十分之一 |  | general
eightieth | /'eitiiθ/ | num. | 第八十, 八十分之一 |  | general
sixtieth | /'sikstiiθ/ | num. | 第六十, 六十分之一 |  | general
seventieth | /'sevntiiθ/ | num. | 第七十, 七十分之一 |  | general
ninetieth | /'naintiiθ/ | num. | 第九十, 九十分之一 |  | general
statutory | /'stætjutәri/ |  | a. 法令的, 法定的, 可依法惩处的；法定的 |  | general
gastric | /'gæstrik/ |  | a. 胃的；胃的 |  | general
custody | /'kʌstәdi/ | n. | 监护, 拘留, 监禁；保管, 照顾, 保护 |  | society
albeit | /ɔ:l'bi:it/ | conj. | 尽管, 虽然 |  | general
ranger | /'reinʒә/ | n. | 王室守林人, 骑警, 漫游者 |  | environment
lexical | /'leksikl/ |  | a. 字典的, 词汇的 |  | general
innocence | /'inәsәns/ | n. | 无罪, 无知, 天真无邪；无罪, 无罪的人, 清白无辜者 |  | society
goodwill | /^jd'wil/ | n. | 友好, 好意, 善意, 亲善, (企业享有的；(企业的)商誉, 信誉 |  | economy
quantum | /'kwɒntәm/ | n. | 量, 量子；量子 |  | general
speculative | /'spekjuleitiv/ |  | a. 思索性的, 投机的, 推测的；投机的, 冒险的 |  | economy
asthma | /'æsmә/ | n. | 哮喘；气喘 |  | general
diabetes | /daiә'bi:ti:z/ | n. | 糖尿病, 多尿症；糖尿病 |  | health
veterinary | /'vetәrinәri/ |  | a. 兽医的；n. 兽医 |  | general
unification | /.ju:nifi'keiʃәn/ | n. | 统一, 联合, 一致；连结 |  | general
corpus | /'kɒ:pәs/ | n. | (事物的)主体, 文集, 本金, 语料库；体 |  | culture
hepatitis | /.hepә'taitis/ | n. | 肝炎；肝炎 |  | general
proprietary | /prә'praiәtәri/ |  | a. 所有者的, 所有权的, 私有的；n. 所有者, 业主, 所有权 |  | economy
discretionary | /dis'kreʃәnәri/ |  | 选择的 |  | general
glucose | /'glu:kәus/ | n. | 葡萄糖；葡萄糖 |  | general
distal | /'distәl/ |  | a. 末梢的；远侧的, 远中的(牙) |  | culture
unaffected | /.ʌnә'fektid/ |  | a. 不矫揉造作的, 自然的, 未受影响的；不受影响的 |  | environment
horrific | /hɒ'rifik/ |  | a. 令人毛骨悚然的, 感到恐惧的 |  | general
intuitive | /in'tju:itiv/ |  | a. 直觉的 |  | general
immaculate | /i'mækjulit/ |  | a. 无污点的, 纯洁的, 无缺点的, 无辜；无斑点, 无瑕疵的, 洁净的 |  | general
cerebral | /'seribrәl/ |  | a. 脑的, 大脑的；小脑的 |  | general
contentious | /kәn'tenʃәs/ |  | a. 好争吵的, 爱争论的, 有异议的；诉讼的, 争执的, 引起争论的 |  | society
athletics | /æθ'letiks/ | n. | 体育运动 |  | culture
somber | /'sɒmbә/ |  | a. 昏暗的, 阴天的, 严峻的, 忧郁的 |  | general
unnoticed | /'ʌn'nәutist/ |  | a. 不被注意的, 被忽视的；未被注意的, 未被顾及的:不瞩目的 |  | general
monumental | /.mɒnju'mentәl/ |  | a. 纪念碑的, 做为纪念的, 不朽的 |  | general
complacency | /kәm'pleisәnsi/ | n. | 满足, 自鸣得意, 自满 |  | general
wreckage | /'rekidʒ/ | n. | 残骸, 失事, 破坏；(船双等的)失事遭难 |  | culture
ethos | /'i:θɔs/ | n. | 气质；民族精神 |  | health
ubiquitous | /ju:'bikwitәs/ |  | a. 无所不在的, 到处存在的, 普遍存在的 |  | general
harshly | /'hɑ:ʃli/ | adv. | 粗糙地, 粗暴地, 刺耳地 |  | general
authenticity | /.ɒ:θen'tisiti/ | n. | 可靠性, 真实性；确实性, 真实性 |  | general
archer | /'ɑ:tʃә/ | n. | 弓箭手, 射箭运动员 |  | general
advocacy | /'ædvәkәsi/ | n. | 拥护, 支持, 鼓吹, 辩护, 辩护术；辩护, 拥护, 提倡 |  | general
locus | /'lәukәs/ | n. | 轨迹；地点, 所在地 |  | culture
sequential | /si'kwenʃәl/ |  | a. 继续的, 后果的；顺序的 |  | general
hypertension | /.haipә'tenʃәn/ | n. | 高血压, 过度紧张；高血压, 血压过高, 张力过强, 压力过高 |  | general
ventral | /'ventrәl/ |  | a. 腹的, 腹部的, 腹面的；n. 腹鳍 |  | general
blatant | /'bleitәnt/ |  | a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的 |  | general
inadvertently | /ˌɪnədˈvɜ:təntli/ | adv. | 漫不经心地, 疏忽地；非故意地 |  | general
prowess | /'prauis/ | n. | 英勇, 勇敢, 超凡技术 |  | technology
horrendous | /hɒ'rendәs/ |  | a. 可怕的, 骇人的, 不得了的 |  | general
