# word | phonetic | pos. | meaning | example | topic
flawless | /'flɒ:lis/ |  | a. 无瑕疵的, 无缺点的；无裂纹的 |  | society
crawfish | /'krɔ:fiʃ/ | n. | 蛄, 小龙虾；vi. (美)(非正式)后退, 退却, 退缩 |  | general
antimatter | /'ænti.mætә/ | n. | 反物质；反物质 |  | culture
educationally | /.edju'keiʃәnli/ | adv. | 教育地, 教育上地, 有关教育地 |  | education
creche | /kreiʃ/ | n. | (日间)托儿所, 育婴堂, 弃儿养育院, 基；托儿所 |  | health
blithely |  | adv. | 欢乐的, 轻率的, 无忧无虑的, 愉快的 |  | general
astrophysics | /.æstrәu'fiziks/ | n. | 天体物理学；天体物理 |  | general
undemocratic | /'ʌndemә'krætik/ |  | a. 非民主的, 不民主的 |  | general
mythological | /.miθә'lɒdʒikәl/ |  | a. 神话的, 神话学的, 虚构的 |  | culture
chastity | /'tʃæstiti/ | n. | 纯洁, 贞操；贞操, 纯洁 |  | culture
bodywork | /'bɒdiwә:k/ | n. | 车身 |  | general
unperturbed | /.ʌnpә'tә:bd/ |  | a. 未受扰乱的, 平静的, 镇定的 |  | general
thereon | /.ðєәr'ɒn/ | adv. | 在那上面, ...之后立即 |  | general
celluloid | /'seljulɒid/ | n. | 赛璐珞；赛璐珞 |  | culture
marijuana | /.mæriju'ɑ:nә/ | n. | 大麻；大麻 |  | health
workweek | /'wә:kwi:k/ | n. | 一星期工作时间 |  | work
prejudicial | /.predʒu'diʃәl/ |  | a. 造成偏见的, 有侵害的；有损害的, 不利的, 有偏见的 |  | general
invitational | /,invi'teiʃənәl/ |  | a. (限于被)邀请的,怂恿 |  | general
toleration | /.tɒlә'reiʃәn/ | n. | 宽容, 默认, 信仰自由；耐量 |  | culture
unclean | /.ʌn'kli:n/ |  | a. 不洁净的, 不纯洁的, 行为不检的 |  | society
unloved | /ʌn'lʌvd/ |  | a. 不为人所爱的 |  | general
unanswerable | /.ʌn'ɑ:nsәrәbl/ |  | a. 无法回答的, 没有责任的；不能回答的, 无法争辩的, 决定性的 |  | general
smallish | /'smɒ:liʃ/ |  | a. 有点小的, 短小的 |  | general
obligingly | /ə'blaɪdʒɪŋlɪ/ | adv. | 亲切地 |  | general
euphoric | /ju:'fɔrik/ |  | a. 欣快症的, 欣快的；精神愉快的, 欣快的 |  | health
diplomatically | /,diplә'mætikәli/ | adv. | 在外交上, 靠外交途径, 凭外交手腕 |  | general
depressingly | /dɪ'presɪŋlɪ/ | adv. | 令人忧愁地；使人沮丧地 |  | general
wholehearted | /'hәul'hɑ:tid/ |  | a. 一心一意的, 诚恳的 |  | general
unruffled | /.ʌn'rʌfld/ |  | a. 不起皱的, 不骚动的, 不混乱的, 安 |  | society
presentable | /pri'zentәbl/ |  | a. 体面的, 可表现的, 可提出的 |  | general
panicky | /'pæniki/ |  | a. 恐慌的, 惊慌失措的；恐慌的, 由恐慌引起的 |  | general
ostentatious | /.ɒsten'teiʃәs/ |  | a. 装饰表面的, 铺张的, 夸示的, 华美 |  | general
needlessly |  | adv. | 不必要地；无用地 |  | general
invisibility | /in.vizә'biliti/ | n. | 看不见, 难觉察的, 看不见的东西 |  | general
imaginatively |  | adv. | 想象上地 |  | general
grandly | /'grændli/ | adv. | 宏伟地, 盛大地 |  | general
exhaustively | /ɪɡ'zɔ:stɪvlɪ/ | adv. | 用尽一切地 |  | general
dismally |  | adv. | 沉闷地；阴暗地 |  | general
granddaddy | /ˈgrændædi/ | n. | <非正>祖师爷, 老祖宗；爷爷, 祖父 |  | general
artistically | /ɑ:'tistikli/ | adv. | 富有艺术地, 在艺术上 |  | culture
unhurried | /.ʌn'hʌrid/ |  | a. 不慌忙的, 不急的, 从容不迫的 |  | general
funnily | /'fʌnili/ | adv. | 滑稽可笑地 |  | general
bioethics | /'baiәueθiks/ | n. | 生物伦理学 |  | health
conspiratorial | /kәn.spirә'tɒ:riәl/ |  | a. 阴谋的, 阴谋者的；阴谋的, 共谋的 |  | general
preeminence | /pri:'eminәns/ | n. | 杰出, 卓越, 超群 |  | general
unscientific | /'ʌn.saiәn'tifik/ |  | a. 不科学的, 不符合科学原理的 |  | general
uncontrollably | /,ʌnkən'trəuləbli/ | adv. | 无法控制地 |  | general
hereafter | /.hiәr'ɑ:ftә/ | n. | 将来, 来世；adv. 此后, 将来, 来世 |  | general
unreadable | /ʌn'ri:dәbl/ |  | a. 不能读的, 难辩认的, 平淡无味的；难辩认的, 不能读的 |  | general
lunchroom | /'lʌntʃrum/ | n. | 便餐厅 |  | general
improperly |  |  | 不适当地 |  | general
correlational |  |  | 相关的 |  | economy
nakedness | /'neikidnis/ | n. | 裸, 明显, 赤身裸体 |  | general
fleetingly | /'fli:tɪŋlɪ/ | adv. | 飞快地, 疾驰地 |  | general
churlish | /'tʃә:liʃ/ |  | a. 粗野的 |  | general
optics | /'ɒptiks/ | n. | 光学；光学 |  | general
armoire | /ɑ:'mwɑ:/ | n. | 大型衣橱 |  | general
shirtless |  |  | a. 赤膊的；无上装的 |  | general
preparedness | /pri'pєәdnis/ | n. | 准备状态, 战备状态 |  | general
uninspiring | /ˌʌnɪnˈspaɪərɪŋ/ |  | a. 引不起兴趣的, 无鼓舞作用的, 无指望 |  | general
unhindered | /ʌn'hindәd/ |  | a. 不受妨碍的, 不受阻碍的 |  | general
undiminished | /.ʌndi'miniʃt/ |  | a. 未经缩减的, 未经减少的, 没有降低的 |  | general
unacceptably |  |  | 不能接受地 |  | general
pitifully |  | adv. | 可怜地, 令人怜悯地；可恨地 |  | general
cornbread | /ˈkɔ:nbred/ | n. | 玉米面包 |  | general
ferociously | /fə'rəʊʃəslɪ/ | adv. | 野蛮地, 残忍地 |  | general
unwisely |  | adv. | 不明智地；愚笨地 |  | general
unsigned | /ʌn'saind/ |  | 无符号的, 未签名的 |  | general
unethical |  |  | a. 不道德的 |  | society
biofeedback | /'baiәu,fi:dbæk/ |  | 生物反馈 |  | culture
snugly | /'snʌgli/ | adv. | 舒适地, 整洁干净地, 紧密地 |  | general
triage | /tri'ɑ:ʒ/ |  | 伤员拣别分类 |  | health
groundless | /'^aundlis/ |  | a. 无根据的, 无理由的；无根据的, 无理由的 |  | general
erroneously |  | adv. | 错误, 不正确 |  | general
confidentially |  | adv. | 秘密地；作为心腹话地 |  | general
competently |  | adv. | 胜任地；适合地 |  | general
abominable | /ә'bɒminәbl/ |  | a. 讨厌的, 令人憎恶的 |  | general
unmanageable | /.ʌn'mænidʒәbl/ |  | a. 难管理的, 难处理的, 难操纵的, 处；难以加工的 |  | work
undisciplined | /.ʌn'disiplind/ |  | a. 未受过训练的, 训练不足的, 不遵守纪；缺乏纪律的, 任性的, 无修养的 |  | general
vise | /vais/ | n. | 虎钳；vt. 钳住 |  | general
newness | /'nju:nis/ | n. | 崭新, 新奇, 珍奇 |  | general
hypothermia | /.haipә'θә:miә/ | n. | 低体温；低温, 降温 |  | general
archeological | /.ɑ:kiә'lɔdʒikәl/ |  | a. 考古学的 |  | general
