# word | phonetic | pos. | meaning | example | topic
trenchant | /'trentʃәnt/ |  | a. 锐利的, 尖锐的, 有力的, 鲜明的 |  | general
spongy | /'spʌndʒi/ |  | a. 海绵状的, 海绵质的, 多孔的；海绵状的, 海绵构造的 |  | general
magisterial | /.mædʒi'stiәriәl/ |  | a. 长官的, 威严的, 有权威的；长官的, 有权威的, 专横的 |  | general
unworldly | /'ʌn'wә:ldli/ |  | a. 非现世的, 非尘世的, 超自然的, 精 |  | environment
supercilious | /.sju:pә'siliәs/ |  | a. 傲慢的, 自大的, 目空一切的 |  | general
moralistic | /.mɒrә'listik/ |  | a. 道德家的, 说教的, 道德主义的 |  | general
rapprochement | /ræ'prɔʃmә:ŋ/ | n. | 和解, 恢复邦交, 恢复友好关系, 重归于好 |  | general
partiality | /.pɑ:ʃi'æliti/ | n. | 偏心, 偏颇, 不公平, 特别喜欢, 癖好；偏袒, 偏见, 不公平 |  | general
despotism | /'despәtizәm/ | n. | 独裁, 专制, 专制政治；专制政体, 专制政治 |  | society
specious | /'speiʃәs/ |  | a. 徒有其表的, 似是而非的, 外表美观的 |  | general
stasis | /'steisis/ | n. | 停滞, 郁积；停滞, 郁滞 |  | general
sonorous | /sәu'nɒ:rәs/ | n. | 宏亮的, 响亮的, 作响的；响声的, 作响的 |  | general
jocular | /'dʒɒkjulә/ |  | a. 诙谐的 |  | general
dogmatism | /'dɒgmәtizm/ | n. | 武断, 教条主义 |  | general
cryogenic | /'kraiәdʒenik/ |  | a. 低温学的；降温的, 产低温的 |  | general
verdant | /'vә:dnt/ |  | a. 翠绿的, 青翠的, 无经验的, 不老练 |  | general
personable | /'pә:snәbl/ |  | a. 风度好的, 讨人喜欢的, 具有行为能力 |  | general
omnipotent | /ɒm'nipәtәnt/ |  | a. 全能的, 无所不能的, 彻头彻尾的 |  | general
nonchalant | /'nɒnʃәlәnt/ |  | a. 不关心的, 冷淡的, 无动于衷的 |  | general
misshapen | /.mis'ʃeipәn/ |  | a. 造型不佳的, 丑恶的, 畸形的 |  | general
irascible | /i'ræsәbl/ |  | a. 易怒的, 暴躁的 |  | general
inalienable | /in'eiljәnәbl/ |  | a. 不能让与的, 不能转售的, 不能夺取的 |  | general
chivalrous | /'ʃivәlrәs/ |  | a. 骑士的, 勇敢的 |  | general
walrus | /'wɒ:lrәs/ | n. | 海象 |  | general
episodic | /.epi'sɒdik/ |  | a. 插曲似的 |  | general
polemical | /pә'lemikәl/ |  | a. 好辩的；好争论的 |  | general
empiricism | /em'pirisizm/ | n. | 经验主义, 庸医的医术, 经验论；经验医学 |  | culture
visceral | /'visәrәl/ |  | a. 内脏的；内脏的 |  | general
typographical | /,taipә'^ræfikәl/ |  | a. 印刷上的, 活版印刷的；印刷的 |  | general
deductive | /di'dʌktiv/ |  | a. 推论的, 演绎的；推定的, 推断的, 演绎的 |  | general
