# word | phonetic | pos. | meaning | example | topic
piratical | /pai'rætikәl/ |  | a. 海盗的, 象海盗的, 非法翻印的 |  | general
mediastinum | /,mi:diæs'tainәm/ | n. | 纵隔；纵隔 |  | culture
monotonously | /mə'nɒtənəslɪ/ | adv. | 单调地, 无变化地 |  | general
pillowy | /'pilәui/ |  | a. 枕头般的, 柔软的 |  | general
mindlessly |  | adv. | 不费心思地；愚蠢地 |  | general
acupressure | /'ækjj,preʃә(r)/ |  | 针压法 |  | health
maniacal | /mә'naiәkәl/ |  | a. 躁狂的, 狂乱的, 狂热的, 疯狂的；躁狂的 |  | general
o'er | /ɔ:(r)/ | adv. | & prep. <古>=over |  | general
magnetically |  | adv. | 有磁力地；有吸引力地 |  | general
lustful | /'lʌstful/ |  | a. 贪欲的, 好色的 |  | general
litigious | /li'tidʒәs/ |  | a. 好诉讼的, 好争论的；关于诉讼的, 可引起诉讼的, 好诉讼的 |  | general
irreligious | /.iri'lidʒәs/ |  | a. 无宗教的, 反宗教的, 无信仰的 |  | culture
filmy | /'filmi/ |  | a. 薄膜的, 薄的, 朦胧的 |  | general
gynecologic | /,^ainikә'lɔdʒik,,dʒai-/ |  | a. 妇科学；妇科学的 |  | environment
louvered | /'lu:vәd/ |  | a. 装有百叶窗板的, 像百叶窗板一般安排的 |  | general
corroborative | /kә'rɔbәrәtiv/ |  | a. 确证的；确证的, 确定的 |  | general
gastroesophageal | /'^æstrәji,sɔfә'dʒi:әl/ |  | 胃食管的 |  | general
skittishness |  | n. | 活泼好动；难以驾驭 |  | general
advisedly | /әd'vaizidli/ | adv. | 经过考虑地, 故意地 |  | general
voluntariness | /'vɒlәntәrinis/ | n. | 自愿, 志愿, 自动 |  | technology
metier | /ˈmetieɪ/ | n. | 职业, 工作 |  | work
dorado | /dә'rɑ:dәu/ | n. | 剑鱼 |  | general
wisteria | /wi'stiәriә/ | n. | 柴藤 |  | general
warningly |  | adv. | 警告地 |  | general
transfiguration | /,trænsfi^ju'reiʃәn/ | n. | 变形, 变貌, 变容 |  | general
thematically |  | adv. | 主题上；主题方面 |  | general
territorially | /,teri'tɔ:riəli/ | adv. | 在领土方面 |  | general
ribboned | /'rɪbən/ | n. | 带；缎带 |  | general
pickerel | /'pikәrәl/ | n. | 狗鱼 |  | environment
stolidly | /'stɒlidli/ | adv. | 迟钝地, 神经麻木地 |  | general
sorrowfully | /'sɒrəʊfəlɪ/ | adv. | 伤心地, 悲伤地 |  | general
sleaze | /sli:z/ | n. | 劣等品；卑鄙的人 |  | general
membranous | /'membrәnәs, mem'breinәs/ |  | a. 膜的, 膜性的；膜的 |  | general
sightless | /'saitlis/ |  | a. 盲的, 不可见的 |  | general
seamanship | /'si:mәnʃip/ | n. | 航海技术 |  | technology
regrowth | /'reɡrəʊθ/ |  | 再生长, 再生苗；再生物 |  | general
realpolitik | /rei'ɑ:lpәuli'ti:k/ | n. | <德>权力政治, 现实政治 |  | general
radiantly | /'reɪdɪəntlɪ/ | adv. | 辉煌地, 清朗地 |  | general
punctually |  | adv. | 守时地, 按期地, 准时地, 正确地, 精确 |  | general
knuckleball | /'nʌklbɔ:l/ | n. | (投手投出的)不旋转球 |  | general
gushy | /'^ʌʃi/ |  | a. 过分多情的 |  | general
palely | /'peili/ | adv. | 苍白地, 青青地, 淡色地 |  | general
lantana | /læn'tɑ:nә/ | n. | 马樱丹属 |  | general
diatonic | /daiә'tɒnik/ |  | a. 自然音阶的 |  | environment
monstrously | /'mɔnstrəsli/ | adv. | 可怕地；荒唐地 |  | general
mildness | /'maildnis/ | n. | 温和, 温暖 |  | general
patellar | /pә'telә/ |  | a. 膝盖骨的；髌的 |  | general
squinty | /'skwinti/ |  | a. 斜视眼的, 斗鸡眼的 |  | general
grandiloquent | /græn'dilәkwәnt/ |  | a. 大言不惭的, 夸张的, 夸大的 |  | general
pharmacologic |  |  | a. 药理学, 药物学 |  | health
equalization | /.i:kwәlai'zeiʃәn/ | n. | 均等, 同等化, 平等化；平衡, 均衡 |  | general
discourteous | /dis'kә:tjәs/ |  | a. 失礼的, 无礼貌的 |  | society
dewy | /'dju:i/ |  | a. 露湿的, 带露水的, 如露的 |  | general
